Series ID,Year,Period,Label,Value
LAUCT391500000000003,2008,M01,2008 Jan,5.7
LAUCT391500000000003,2008,M02,2008 Feb,5.3
LAUCT391500000000003,2008,M03,2008 Mar,5.2
LAUCT391500000000003,2008,M04,2008 Apr,4.7
LAUCT391500000000003,2008,M05,2008 May,5.7
LAUCT391500000000003,2008,M06,2008 Jun,6.6
LAUCT391500000000003,2008,M07,2008 Jul,7.1
LAUCT391500000000003,2008,M08,2008 Aug,6.9
LAUCT391500000000003,2008,M09,2008 Sep,6.6
LAUCT391500000000003,2008,M10,2008 Oct,6.5
LAUCT391500000000003,2008,M11,2008 Nov,6.5
LAUCT391500000000003,2008,M12,2008 Dec,6.8
LAUCT391500000000003,2009,M01,2009 Jan,8
LAUCT391500000000003,2009,M02,2009 Feb,8.6
LAUCT391500000000003,2009,M03,2009 Mar,8.7
LAUCT391500000000003,2009,M04,2009 Apr,8.5
LAUCT391500000000003,2009,M05,2009 May,9
LAUCT391500000000003,2009,M06,2009 Jun,10
LAUCT391500000000003,2009,M07,2009 Jul,10.1
LAUCT391500000000003,2009,M08,2009 Aug,10.1
LAUCT391500000000003,2009,M09,2009 Sep,10
LAUCT391500000000003,2009,M10,2009 Oct,10.3
LAUCT391500000000003,2009,M11,2009 Nov,10.1
LAUCT391500000000003,2009,M12,2009 Dec,10.2
LAUCT391500000000003,2010,M01,2010 Jan,11.6
LAUCT391500000000003,2010,M02,2010 Feb,11.3
LAUCT391500000000003,2010,M03,2010 Mar,11.2
LAUCT391500000000003,2010,M04,2010 Apr,10.6
LAUCT391500000000003,2010,M05,2010 May,10.3
LAUCT391500000000003,2010,M06,2010 Jun,10.9
LAUCT391500000000003,2010,M07,2010 Jul,11.1
LAUCT391500000000003,2010,M08,2010 Aug,10.9
LAUCT391500000000003,2010,M09,2010 Sep,10.4
LAUCT391500000000003,2010,M10,2010 Oct,10.2
LAUCT391500000000003,2010,M11,2010 Nov,10.3
LAUCT391500000000003,2010,M12,2010 Dec,9.7
LAUCT391500000000003,2011,M01,2011 Jan,10.5
LAUCT391500000000003,2011,M02,2011 Feb,9.9
LAUCT391500000000003,2011,M03,2011 Mar,9.5
LAUCT391500000000003,2011,M04,2011 Apr,9.1
LAUCT391500000000003,2011,M05,2011 May,9.6
LAUCT391500000000003,2011,M06,2011 Jun,10.7
LAUCT391500000000003,2011,M07,2011 Jul,10.7
LAUCT391500000000003,2011,M08,2011 Aug,10.3
LAUCT391500000000003,2011,M09,2011 Sep,9.7
LAUCT391500000000003,2011,M10,2011 Oct,9.2
LAUCT391500000000003,2011,M11,2011 Nov,8.5
LAUCT391500000000003,2011,M12,2011 Dec,8.3
LAUCT391500000000003,2012,M01,2012 Jan,9
LAUCT391500000000003,2012,M02,2012 Feb,8.6
LAUCT391500000000003,2012,M03,2012 Mar,8.2
LAUCT391500000000003,2012,M04,2012 Apr,7.5
LAUCT391500000000003,2012,M05,2012 May,7.6
LAUCT391500000000003,2012,M06,2012 Jun,8.3
LAUCT391500000000003,2012,M07,2012 Jul,8.8
LAUCT391500000000003,2012,M08,2012 Aug,8.1
LAUCT391500000000003,2012,M09,2012 Sep,7.4
LAUCT391500000000003,2012,M10,2012 Oct,7.6
LAUCT391500000000003,2012,M11,2012 Nov,7.4
LAUCT391500000000003,2012,M12,2012 Dec,7.8
LAUCT391500000000003,2013,M01,2013 Jan,9.3
LAUCT391500000000003,2013,M02,2013 Feb,8.5
LAUCT391500000000003,2013,M03,2013 Mar,7.8
LAUCT391500000000003,2013,M04,2013 Apr,7.3
LAUCT391500000000003,2013,M05,2013 May,7.9
LAUCT391500000000003,2013,M06,2013 Jun,8.7
LAUCT391500000000003,2013,M07,2013 Jul,8.6
LAUCT391500000000003,2013,M08,2013 Aug,8.2
LAUCT391500000000003,2013,M09,2013 Sep,7.9
LAUCT391500000000003,2013,M10,2013 Oct,8
LAUCT391500000000003,2013,M11,2013 Nov,7.3
LAUCT391500000000003,2013,M12,2013 Dec,6.6
LAUCT391500000000003,2014,M01,2014 Jan,7.4
LAUCT391500000000003,2014,M02,2014 Feb,6.9
LAUCT391500000000003,2014,M03,2014 Mar,6.3
LAUCT391500000000003,2014,M04,2014 Apr,5.3
LAUCT391500000000003,2014,M05,2014 May,5.7
LAUCT391500000000003,2014,M06,2014 Jun,6.4
LAUCT391500000000003,2014,M07,2014 Jul,6.7
LAUCT391500000000003,2014,M08,2014 Aug,6.3
LAUCT391500000000003,2014,M09,2014 Sep,5.7
LAUCT391500000000003,2014,M10,2014 Oct,5.5
LAUCT391500000000003,2014,M11,2014 Nov,5.4
LAUCT391500000000003,2014,M12,2014 Dec,5
LAUCT391500000000003,2015,M01,2015 Jan,5.9
LAUCT391500000000003,2015,M02,2015 Feb,5.3
LAUCT391500000000003,2015,M03,2015 Mar,5
LAUCT391500000000003,2015,M04,2015 Apr,4.7
LAUCT391500000000003,2015,M05,2015 May,5.1
LAUCT391500000000003,2015,M06,2015 Jun,5.4
LAUCT391500000000003,2015,M07,2015 Jul,5.3
LAUCT391500000000003,2015,M08,2015 Aug,4.8
LAUCT391500000000003,2015,M09,2015 Sep,4.5
LAUCT391500000000003,2015,M10,2015 Oct,4.7
LAUCT391500000000003,2015,M11,2015 Nov,4.7
LAUCT391500000000003,2015,M12,2015 Dec,4.6
LAUCT391500000000003,2016,M01,2016 Jan,5.2
LAUCT391500000000003,2016,M02,2016 Feb,4.9
LAUCT391500000000003,2016,M03,2016 Mar,5
LAUCT391500000000003,2016,M04,2016 Apr,4.6
LAUCT391500000000003,2016,M05,2016 May,4.4
LAUCT391500000000003,2016,M06,2016 Jun,5.2
LAUCT391500000000003,2016,M07,2016 Jul,5.2
LAUCT391500000000003,2016,M08,2016 Aug,5.2
LAUCT391500000000003,2016,M09,2016 Sep,5.1
LAUCT391500000000003,2016,M10,2016 Oct,5
LAUCT391500000000003,2016,M11,2016 Nov,4.6
LAUCT391500000000003,2016,M12,2016 Dec,4.6
LAUCT391500000000003,2017,M01,2017 Jan,5.5
LAUCT391500000000003,2017,M02,2017 Feb,5.1
LAUCT391500000000003,2017,M03,2017 Mar,4.6
LAUCT391500000000003,2017,M04,2017 Apr,4.3
LAUCT391500000000003,2017,M05,2017 May,4.6
LAUCT391500000000003,2017,M06,2017 Jun,5.4
LAUCT391500000000003,2017,M07,2017 Jul,5.3
LAUCT391500000000003,2017,M08,2017 Aug,5.4
LAUCT391500000000003,2017,M09,2017 Sep,4.7
LAUCT391500000000003,2017,M10,2017 Oct,4.6
LAUCT391500000000003,2017,M11,2017 Nov,4.4
LAUCT391500000000003,2017,M12,2017 Dec,4.2
LAUCT391500000000003,2018,M01,2018 Jan,4.7
LAUCT391500000000003,2018,M02,2018 Feb,4.6
LAUCT391500000000003,2018,M03,2018 Mar,4.4
LAUCT391500000000003,2018,M04,2018 Apr,4.1
LAUCT391500000000003,2018,M05,2018 May,4.2
LAUCT391500000000003,2018,M06,2018 Jun,5.3
LAUCT391500000000003,2018,M07,2018 Jul,5
LAUCT391500000000003,2018,M08,2018 Aug,4.7
LAUCT391500000000003,2018,M09,2018 Sep,4.3
LAUCT391500000000003,2018,M10,2018 Oct,4.4
LAUCT391500000000003,2018,M11,2018 Nov,4.1
LAUCT391500000000003,2018,M12,2018 Dec,4.3
LAUCT391500000000003,2019,M01,2019 Jan,5.2
LAUCT391500000000003,2019,M02,2019 Feb,4.2
LAUCT391500000000003,2019,M03,2019 Mar,3.9
LAUCT391500000000003,2019,M04,2019 Apr,3.4
LAUCT391500000000003,2019,M05,2019 May,3.7
LAUCT391500000000003,2019,M06,2019 Jun,4.7
LAUCT391500000000003,2019,M07,2019 Jul,4.9
LAUCT391500000000003,2019,M08,2019 Aug,4.7
LAUCT391500000000003,2019,M09,2019 Sep,4.2
LAUCT391500000000003,2019,M10,2019 Oct,4.1
LAUCT391500000000003,2019,M11,2019 Nov,3.8
LAUCT391500000000003,2019,M12,2019 Dec,3.6
LAUCT391500000000003,2020,M01,2020 Jan,4.7
LAUCT391500000000003,2020,M02,2020 Feb,4.3
LAUCT391500000000003,2020,M03,2020 Mar,4.7
LAUCT391500000000003,2020,M04,2020 Apr,15.1
LAUCT391500000000003,2020,M05,2020 May,13.7
LAUCT391500000000003,2020,M06,2020 Jun,12.7
LAUCT391500000000003,2020,M07,2020 Jul,11.1
LAUCT391500000000003,2020,M08,2020 Aug,11.2
